Aarão,80086603257,11/07/1948,"Brasil,RR,Boa Vista,Avenida Capitão Ene Garcez 2413,1794","Brasil,RR,Boa Vista,Rua Samambaia,1794"
Aaron,58061881992,23/06/1997,"Brasil,PR,Paranaguá,Avenida Gabriel de Lara,1112","Brasil,PR,Paranaguá,Rua Jundiá,1112"
Abdénago,60742710646,01/06/2000,"Brasil,RO,Porto Velho,Rua Jundiá,1006","Brasil,RO,Porto Velho,Rua Buia,1006"
Abdul,73071262695,02/11/1944,"Brasil,SP,São Paulo,Rua Buia,622","Brasil,SP,São Paulo,Rua Alvino Ferreira,622"
Abeilard,47692409484,25/07/1960,"Brasil,SC,Joinville,Rua Raul Borges,736","Brasil,SC,Joinville,Avenida dos Galibis,736"
Abeilarde,19436586418,20/05/1999,"Brasil,AP,Macapá,Avenida dos Galibis,129","Brasil,AP,Macapá,Rua Joana de Souza Bonfim,129"
Abelâmio,52194779417,22/06/1961,"Brasil,SE,Aracaju,Rua Joana de Souza Bonfim,727","Brasil,SE,Aracaju,Rua das Garças,727"
Abelardo,63459970384,23/03/1986,"Brasil,AP,Macapá,Rua das Garças,520","Brasil,AP,Macapá,Travessa Moreira,520"
Abelino,91445148736,05/04/1979,"Brasil,CE,Fortaleza,Travessa Moreira,921","Brasil,CE,Fortaleza,Rua Samambaia,921"
Abigail,77904284886,18/07/1987,"Brasil,MT,Cuiabá,Rua Samambaia,1779","Brasil,MT,Cuiabá,Rua Dezenove,1779"
Abimael,20982698506,12/01/1953,"Brasil,MG,Betim,Rua Dezenove,1356","Brasil,MG,Betim,Rua Um,1356"
Abissail,14262962400,14/08/1964,"Brasil,MT,Rondonópolis,Rua Um,1437","Brasil,MT,Rondonópolis,Rua Alberto José Werdine,1437"
Abna,45846274730,16/09/1944,"Brasil,MG,Itajubá,Rua Alberto José Werdine,791","Brasil,MG,Itajubá,Praça General Carlos Machado Bittencourt,791"
Abraão,78386843080,22/07/1995,"Brasil,SP,Piracicaba,Praça General Carlos Machado Bittencourt,1644","Brasil,SP,Piracicaba,Rua Nossa Senhora da Conceição,1644"
