Aarão,80086603257,11/07/1948,"Brasil,RR,Boa Vista,Avenida Capitão Ene Garcez 2413,1794","Brasil,RR,Boa Vista,Rua Samambaia,1794",Aarão@gmail.com
Aaron,58061881992,23/06/1997,"Brasil,PR,Paranaguá,Avenida Gabriel de Lara,1112","Brasil,PR,Paranaguá,Rua Jundiá,1112",Aaron@gmail. com
Abdénago,60742710646,01/06/2000,"Brasil,RO,Porto Velho,Rua Jundiá,1006","Brasil,RO,Porto Velho,Rua Buia,1006",Abdénago@gmail.com
Abdul,73071262695,02/11/1944,"Brasil,SP,São Paulo,Rua Buia,622","Brasil,SP,São Paulo,Rua Alvino Ferreira,622",Abdul@gmail.com
Abeilard,47692409484,25/07/1960,"Brasil,SC,Joinville,Rua Raul Borges,736","Brasil,SC,Joinville,Avenida dos Galibis,736",Abeilard@gmail.com
Abeilarde,19436586418,20/05/1999,"Brasil,AP,Macapá,Avenida dos Galibis,129","Brasil,AP,Macapá,Rua Joana de Souza Bonfim,129",Abeilarde@gmail.com
Abelâmio,52194779417,22/06/1961,"Brasil,SE,Aracaju,Rua Joana de Souza Bonfim,727","Brasil,SE,Aracaju,Rua das Garças,727",Abelâmio@gmail.com
Abelardo,63459970384,23/03/1986,"Brasil,AP,Macapá,Rua das Garças,520","Brasil,AP,Macapá,Travessa Moreira,520",Abelardo@gmail.com
Abelino,91445148736,05/04/1979,"Brasil,CE,Fortaleza,Travessa Moreira,921","Brasil,CE,Fortaleza,Rua Samambaia,921",Abelino@gmail.com
Abigail,77904284886,18/07/1987,"Brasil,MT,Cuiabá,Rua Samambaia,1779","Brasil,MT,Cuiabá,Rua Dezenove,1779",Abigail@gmail.com
Abimael,20982698506,12/01/1953,"Brasil,MG,Betim,Rua Dezenove,1356","Brasil,MG,Betim,Rua Um,1356",Abimael@gmail.com
Abissail,14262962400,14/08/1964,"Brasil,MT,Rondonópolis,Rua Um,1437","Brasil,MT,Rondonópolis,Rua Alberto José Werdine,1437",Abissail@gmail.com
Abna,45846274730,16/09/1944,"Brasil,MG,Itajubá,Rua Alberto José Werdine,791","Brasil,MG,Itajubá,Praça General Carlos Machado Bittencourt,791",Abna@gmail.com
Abraão,78386843080,22/07/1995,"Brasil,SP,Piracicaba,Praça General Carlos Machado Bittencourt,1644","Brasil,SP,Piracicaba,Rua Nossa Senhora da Conceição,1644",Abraão@gmail.com
Abraham,97083541564,07/01/2002,"Brasil,AC,Rio Branco,Rua Nossa Senhora da Conceição,142","Brasil,AC,Rio Branco,Rua 10,142",Abraham@gmail.com
Abraim,29531732803,08/11/1971,"Brasil,GO,Rio Verde,Rua 10,725","Brasil,GO,Rio Verde,Rua Edelzuith Frota Cruz,725",Abraim@gmail.com
Abrão,37398908933,21/10/1966,"Brasil,MG,Belo Horizonte,Rua Edelzuith Frota Cruz,1055","Brasil,MG,Belo Horizonte,Rua São João Batista,1055",Abrão@gmail.com
Absalão,78877547696,15/07/1986,"Brasil,MA,São Luís,Rua São João Batista,1193","Brasil,MA,São Luís,Rua Francisco Pereira dos Santos,1193",Absalão@gmail.com
Abssilão,50645668500,20/10/1940,"Brasil,RO,Ji-Paraná,Rua Francisco Pereira dos Santos,678","Brasil,RO,Ji-Paraná,Rua São Diego,678",Abssilão@gmail.com
Ácil,48326404083,04/07/2002,"Brasil,MT,Várzea Grande,Rua São Diego,138","Brasil,MT,Várzea Grande,Quadra 7,138",Ácil@gmail.com
Acilino,45624886590,18/01/1980,"Brasil,AL,Maceió,Quadra 7,1359","Brasil,AL,Maceió,Rua Higienópolis,1359",Acilino@gmail.com
Acílio,35387297659,25/07/1992,"Brasil,RO,Porto Velho,Rua Higienópolis,741","Brasil,RO,Porto Velho,Travessa Manoel Quaresma Mendes,741",Acílio@gmail.com
Acini,75599948174,16/07/1998,"Brasil,AP,Macapá,Travessa Manoel Quaresma Mendes,326","Brasil,AP,Macapá,Rua Haroldo José da Costa,326",Acini@gmail.com
Açores,78632125614,16/06/1982,"Brasil,AL,Maceió,Rua Haroldo José da Costa,400","Brasil,AL,Maceió,Avenida Taboca,400",Açores@gmail.com
Açucena,47844239746,08/01/1993,"Brasil,RO,Ariquemes,Avenida Taboca,1604","Brasil,RO,Ariquemes,Rua Delegado Carlos Roberto Bastos de Oliveira,1604",Açucena@gmail.com
Acúrcio,77247032998,05/10/1996,"Brasil,MS,Campo Grande,Rua Delegado Carlos Roberto Bastos de Oliveira,1794","Brasil,MS,Campo Grande,Rua Rio Jordão,1794",Acúrcio@gmail.com
Acúrsio,81345689684,15/01/1964,"Brasil,PR,Maringá,Rua Rio Jordão,1111","Brasil,PR,Maringá,Avenida João Spadoto,1111",Acúrsio@gmail.com
Ada,34778010161,26/01/1989,"Brasil,SP,Marília,Avenida João Spadoto,1480","Brasil,SP,Marília,Rua Maria Rosa Oliveira,1480",Ada@gmail.com
Adail,63849091306,27/05/1982,"Brasil,SE,Aracaju,Rua Maria Rosa Oliveira,1186","Brasil,SE,Aracaju,Rua Santa Terezinha,1186",Adail@gmail.com
Adalberto,12607190241,27/09/1948,"Brasil,SE,Aracaju,Rua Santa Terezinha,1112","Brasil,SE,Aracaju,Rua 1º de Maio,1112",Adalberto@gmail.com
Adalgisa,49782843771,13/03/1964,"Brasil,BA,Salvador,Rua 1º de Maio,912","Brasil,BA,Salvador,Rua Belo Monte,912",Adalgisa@gmail.com
Adália,94386506131,27/05/1994,"Brasil,PA,Altamira,Rua Belo Monte,4","Brasil,PA,Altamira,Rua Industrial Azziz Okka Baquit,4",Adália@gmail.com
